Entity,Code,AvgTemp,CountryID,"Forest Area, 1990","Forest Area, 2000","Forest Area, 2010","Forest Area, 2015",Forest_2020,Land_2020,PropForest_2020,"Deforestation, 2015-2020","Total Forest Area Affected by Fire, 2015"
Namibia,NAM,22.006461583333333,516,8769.17,8059.08,7348.99,6993.95,6638.9,82329,8.06,...,...
Nepal,NPL,12.969752966666666,524,5672,5780.76,5962.03,5962.03,5962.03,14335,41.59,0,...
Netherlands,NLD,11.576919,528,345.33,359.5,373.48,364.83,369.5,3369,10.97,2.19,0.02
New Caledonia,NCL,22.875598333333333,540,831.13,837.85,839.02,838.52,838.02,1828,45.84,...,...
New Zealand,NZL,10.975189675,554,9372.27,9850.44,9848.12,9846.61,9892.59,26331,37.57,6.58,1.54
Nicaragua,NIC,25.862964416666667,558,6399.32,5399.32,4188.15,3907.53,3407.53,12034,28.32,105.03,...
Niger,NER,27.928532083333334,562,1945,1328.1,1203.9,1141.8,1079.7,126670,0.85,14.92,...
Nigeria,NGA,27.260897166666666,566,26526.09,24893.04,23259.98,22443.45,21626.95,91077,23.75,163.31,12
North Korea,PRK,7.908316058333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Macedonia,MKD,11.785656983333334,807,912,957.55,960.43,994.4,1001.49,2522,39.71,...,3.17
Norway,NOR,1.9717461483333334,578,12132,12113,12102,12141,12180,30413,40.05,5.82,0.14
Oman,OMN,27.93969166666667,512,3,3,3,3,2.5,30950,0.01,...,0
Pakistan,PAK,20.339789541666665,586,4986.79,4511.26,4093.73,3932.6,3725.9,77088,4.83,...,...
Palestine,PSE,21.046179833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,PAN,25.281247166666667,591,4607.4,4442.14,4327.99,4270.91,4213.84,7434,56.68,12.49,2.02
Papua New Guinea,PNG,23.979529833333334,598,36399.68,36277.97,36178.89,36024.42,35855.76,45286,79.18,33.53,3.92
Paraguay,PRY,24.85593325,600,25545.86,22991.65,19570.21,17498.94,16102.26,39730,40.53,279.34,...
Peru,PER,19.365339916666667,604,76448.54,75297.83,74049.8,73194.53,72330.37,128000,56.51,179.09,22.41
Philippines,PHL,26.453860666666667,608,7778.81,7309.26,6839.72,7014.15,7188.59,29817,24.11,...,2.97
Poland,POL,10.0184901,616,8882,9059,9329,9420,9483,30619,30.97,0.77,5.51
Portugal,PRT,15.97945175,620,3399,3281,3252,3312,3312,9161,36.15,...,23.5
Puerto Rico,PRI,25.64099525,630,320.33,429.15,491.45,493.88,496.33,887,55.96,...,...
Qatar,QAT,28.092168083333334,634,0,0,0,0,0,1161,0,0,0
Romania,ROU,11.07980295,642,6371,6366,6515,6900.96,6929.05,23008,30.12,0.02,1.67
Russia,RUS,-1.2760837116666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rwanda,RWA,20.225885583333334,646,317,287,265,270,276,2467,11.19,...,...
Saint Helena,SHN,21.610026083333334,654,2,2,2,2,2,39,5.13,...,...
Saint Vincent and the Grenadines,VCT,26.706705916666667,670,27.54,28.54,28.54,28.54,28.54,39,73.18,...,...
Samoa,WSM,25.573870666666668,882,176.13,171.31,166.49,164.07,161.67,283,57.13,...,...
Sao Tome and Principe,STP,26.028401666666667,678,58.62,58.36,58.1,55,51.9,96,54.06,0.62,...
Saudi Arabia,SAU,26.549840583333335,682,977,977,977,977,977,214969,0.45,...,...
Senegal,SEN,29.3760095,686,9303.16,8853.16,8468.16,8268.16,8068.16,19253,41.91,51,...
Serbia,SRB,11.669056361666668,688,2313,2460,2713,2719.53,2722.65,8746,31.13,0.04,1.85
Seychelles,SYC,26.94165458333333,690,33.7,33.7,33.7,33.7,33.7,46,73.26,...,...
Sierra Leone,SLE,26.401540833333332,694,3126.7,2929.43,2732.16,2633.53,2534.88,7218,35.12,...,...
Slovakia,SVK,9.500336275,703,1902.48,1901.41,1917.91,1921.75,1925.9,4808,40.06,...,0.35
Slovenia,SVN,10.832700316666667,705,1188,1233,1247,1248,1237.83,2014,61.46,2.03,0.06
Solomon Islands,SLB,26.5830355,90,2544.91,2537.6,2530.28,2526.62,2522.97,2799,90.14,...,...
Somalia,SOM,27.094904083333333,706,8282.5,7515,6747.5,6363.75,5980,62734,9.53,76.75,...
South Africa,ZAF,18.182199583333333,710,18142.09,17778.09,17414.09,17232.09,17050.09,121309,14.06,199,11.96
South Georgia and the South Sandwich Islands,SGS,-0.6883418916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Korea,KOR,12.8532382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Sudan,SSD,28.050374083333335,728,7157,7157,7157,7157,7157,63173,11.33,...,...
Spain,ESP,14.711415166666667,724,13904.66,17093.93,18545.34,18551.18,18572.17,49966.1,37.17,3.74,32.88
Sri Lanka,LKA,26.98958125,144,2350.33,2166.42,2103.62,2128.82,2113.02,6271,33.7,...,...
Sudan,SDN,27.215233583333333,729,23570.31,21826.16,20081.17,19209.93,18359.55,186665,9.84,264,...
Suriname,SUR,26.23335475,740,15377.63,15340.87,15299.86,15251.67,15196.29,15600,97.41,11.65,2.5
Sweden,SWE,5.4424187075,752,28063,28163,28073,27980,27980,40731,68.69,13.05,0.35
